"Time (s)","Illuminance (lx)"
1.666893070E-1,1.790000000E2
3.002037110E-1,2.060000000E2
4.333824220E-1,1.930000000E2
7.001670900E-1,1.990000000E2
9.669822760E-1,1.650000000E2
1.100222022E0,1.310000000E2
1.233614356E0,6.800000000E1
1.500246436E0,6.200000000E1
1.767092139E0,6.800000000E1
2.300478370E0,6.200000000E1
2.433870704E0,7.500000000E1
3.100618751E0,8.200000000E1
3.500765235E0,7.500000000E1
3.634035499E0,8.200000000E1
3.767519385E0,7.500000000E1
3.900789649E0,8.200000000E1
4.034120948E0,7.500000000E1
4.300875098E0,8.200000000E1
4.700991065E0,7.500000000E1
5.101229102E0,6.800000000E1
5.234529883E0,8.200000000E1
5.367800147E0,7.500000000E1
5.901393716E0,8.200000000E1
6.034602944E0,7.500000000E1
6.434779946E0,8.200000000E1
6.568141762E0,7.500000000E1
6.834682290E0,8.200000000E1
7.234889809E0,7.500000000E1
7.501582925E0,6.800000000E1
7.635005776E0,8.200000000E1
7.768276040E0,7.500000000E1
7.901637856E0,8.200000000E1
8.168330971E0,7.500000000E1
8.301814858E0,8.200000000E1
8.435054604E0,7.500000000E1
8.568477456E0,8.200000000E1
8.701808755E0,7.500000000E1
9.102077309E0,8.200000000E1
9.502162758E0,7.500000000E1
9.635463540E0,8.200000000E1
9.768703286E0,7.500000000E1
1.110250456E1,8.200000000E1
1.123577482E1,7.500000000E1
1.216939909E1,8.200000000E1
1.230266935E1,7.500000000E1
1.256948454E1,8.200000000E1
1.270284635E1,7.500000000E1
1.310284025E1,8.200000000E1
1.323614103E1,7.500000000E1
1.336959440E1,6.800000000E1
1.350280363E1,7.500000000E1
1.363619596E1,8.200000000E1
1.376955778E1,7.500000000E1
1.430318815E1,8.200000000E1
1.443645841E1,7.500000000E1
1.457000334E1,8.200000000E1
1.470305998E1,7.500000000E1
1.603692022E1,6.800000000E1
1.617019048E1,7.500000000E1
1.657039800E1,8.200000000E1
1.670372930E1,7.500000000E1
1.683690801E1,8.200000000E1
1.723711553E1,7.500000000E1
1.763735356E1,8.200000000E1
1.777037969E1,7.500000000E1
1.803728643E1,8.200000000E1
1.817049565E1,7.500000000E1
1.843728032E1,6.800000000E1
1.857070317E1,7.500000000E1
1.923757329E1,8.200000000E1
1.937078252E1,7.500000000E1
1.950438848E1,8.200000000E1
1.963756719E1,7.500000000E1
2.017113652E1,8.200000000E1
2.030443730E1,7.500000000E1
2.043770757E1,6.800000000E1
2.057116094E1,8.200000000E1
2.083770147E1,7.500000000E1
2.163820806E1,8.200000000E1
2.177126470E1,7.500000000E1
2.190474858E1,8.200000000E1
2.217150274E1,7.500000000E1
2.243828740E1,8.200000000E1
2.257171025E1,7.500000000E1
2.310506597E1,8.200000000E1
2.323833623E1,7.500000000E1
2.337163701E1,8.200000000E1
2.350499883E1,7.500000000E1
2.377178350E1,8.200000000E1
2.390505376E1,7.500000000E1
2.403838506E1,8.200000000E1
2.417177739E1,7.500000000E1
2.470543828E1,8.200000000E1
2.483855596E1,7.500000000E1
2.497210088E1,8.200000000E1
2.523879399E1,7.500000000E1
2.550567022E1,6.800000000E1
2.563875737E1,7.500000000E1
2.590568739E1,8.200000000E1
2.603886610E1,7.500000000E1
2.630583387E1,8.200000000E1
2.643898206E1,7.500000000E1
2.683918958E1,8.200000000E1
2.697252088E1,7.500000000E1
2.723930555E1,8.200000000E1
2.750612074E1,6.800000000E1
2.763954359E1,7.500000000E1
2.803950697E1,8.200000000E1
2.817268568E1,7.500000000E1
2.870625501E1,8.200000000E1
2.897300916E1,7.500000000E1
2.923976331E1,8.200000000E1
2.990638929E1,7.500000000E1
3.003981214E1,6.800000000E1
3.017311292E1,7.500000000E1
3.030644422E1,8.200000000E1
3.057325941E1,7.500000000E1
3.084001356E1,8.200000000E1
3.097349745E1,7.500000000E1
3.124009901E1,8.200000000E1
3.150691419E1,7.500000000E1
3.164036756E1,8.200000000E1
3.190693861E1,7.500000000E1
3.230708509E1,8.200000000E1
3.257356458E1,7.500000000E1
3.297386366E1,8.200000000E1
3.337382704E1,7.500000000E1
3.350737196E1,8.200000000E1
3.390739637E1,7.500000000E1
3.430751234E1,8.200000000E1
3.444090467E1,7.500000000E1
3.470741468E1,8.200000000E1
3.484080702E1,7.500000000E1
3.497422987E1,8.200000000E1
3.510746961E1,7.500000000E1
3.550779920E1,8.200000000E1
3.564109998E1,7.500000000E1
3.630775015E1,8.200000000E1
3.644105093E1,7.500000000E1
3.657447378E1,8.200000000E1
3.670798819E1,7.500000000E1
3.697474234E1,8.200000000E1
3.710813467E1,7.500000000E1
3.724143545E1,8.200000000E1
3.737479727E1,7.500000000E1
3.804163687E1,8.200000000E1
3.817478506E1,7.500000000E1
3.844166128E1,8.200000000E1
3.857505362E1,7.500000000E1
3.884156363E1,8.200000000E1
3.910853140E1,7.500000000E1
3.950837271E1,8.200000000E1
4.030875723E1,7.500000000E1
4.084217398E1,6.800000000E1
4.124225943E1,7.500000000E1
4.164252798E1,6.800000000E1
4.177555411E1,7.500000000E1
4.230918448E1,8.200000000E1
4.257566397E1,7.500000000E1
4.270914786E1,8.200000000E1
4.284257071E1,7.500000000E1
4.310938589E1,8.200000000E1
4.324256460E1,7.500000000E1
4.350950186E1,6.800000000E1
4.364292471E1,7.500000000E1
4.457615225E1,8.200000000E1
4.470966665E1,7.500000000E1
4.564304678E1,6.200000000E1
4.577640860E1,6.800000000E1
4.590987478E1,6.200000000E1
4.604335867E1,6.800000000E1
4.617662893E1,6.200000000E1
4.630996023E1,6.800000000E1
4.657665335E1,6.200000000E1
4.684352957E1,6.800000000E1
4.737694632E1,7.500000000E1
4.751009451E1,6.800000000E1
4.764360891E1,7.500000000E1
4.844384085E1,8.200000000E1
4.857708059E1,7.500000000E1
4.937712942E1,6.800000000E1
4.964421927E1,7.500000000E1
4.977727590E1,6.800000000E1
4.991063772E1,6.200000000E1
5.044402395E1,6.800000000E1
5.071093069E1,8.200000000E1
5.084429251E1,7.500000000E1
5.097756277E1,6.800000000E1
5.111089407E1,7.500000000E1
5.124440847E1,8.200000000E1
5.177770315E1,7.500000000E1
5.204457937E1,6.800000000E1
5.217781912E1,7.500000000E1
5.244466482E1,8.200000000E1
5.257793508E1,1.030000000E2
5.284475027E1,1.170000000E2
5.297795950E1,1.100000000E2
5.337804495E1,1.170000000E2
5.351134573E1,1.100000000E2
5.364489065E1,1.030000000E2
5.377825247E1,9.600000000E1
5.391146170E1,8.900000000E1
5.404491507E1,8.200000000E1
5.417821585E1,7.500000000E1
5.444512258E1,6.200000000E1
5.457842337E1,6.800000000E1
5.524529348E1,6.200000000E1
5.537844168E1,6.800000000E1
5.577874075E1,7.500000000E1
5.591197296E1,6.800000000E1
5.671226592E1,6.200000000E1
5.684553619E1,6.800000000E1
5.711219879E1,8.200000000E1
5.737907501E1,7.500000000E1
5.751277252E1,8.200000000E1
5.764592071E1,7.500000000E1
5.791230865E1,8.200000000E1
5.804567046E1,7.500000000E1
5.817909332E1,8.200000000E1
5.964637847E1,7.500000000E1
5.977961822E1,8.200000000E1
6.017942901E1,8.900000000E1
6.031276031E1,8.200000000E1
6.044627471E1,8.900000000E1
6.057985015E1,8.200000000E1
6.271357818E1,7.500000000E1
6.284672637E1,8.200000000E1
6.298008819E1,7.500000000E1
6.311360259E1,8.200000000E1
6.711452424E1,7.500000000E1
6.724770295E1,8.200000000E1
6.791466462E1,8.900000000E1
6.804802643E1,7.500000000E1
6.818132722E1,8.900000000E1
6.831459748E1,8.200000000E1
6.858132111E1,8.900000000E1
6.898158967E1,8.200000000E1
6.911470734E1,8.900000000E1
7.031496369E1,9.600000000E1
7.058177888E1,8.900000000E1
7.111537873E1,9.600000000E1
7.138194977E1,8.900000000E1
7.151549470E1,9.600000000E1
7.164885651E1,8.900000000E1
7.191545807E1,9.600000000E1
7.231542145E1,8.900000000E1
7.258235871E1,9.600000000E1
7.271569001E1,8.900000000E1
7.284892975E1,9.600000000E1
7.324910676E1,8.900000000E1
7.338234650E1,9.600000000E1
7.364919220E1,1.030000000E2
7.378258454E1,8.900000000E1
7.404924714E1,9.600000000E1
7.418263947E1,8.900000000E1
7.431594025E1,9.600000000E1
7.484929597E1,8.900000000E1
7.498265778E1,9.600000000E1
7.524947297E1,8.900000000E1
7.591632367E1,9.600000000E1
7.618313885E1,8.900000000E1
7.631628705E1,9.600000000E1
7.671637249E1,8.900000000E1
7.684970379E1,9.600000000E1
7.698324872E1,8.900000000E1
7.738330365E1,9.600000000E1
