"Time (s)","Illuminance (lx)"
2.126981860E-1,2.340000000E2
3.459684500E-1,2.410000000E2
6.129972590E-1,2.130000000E2
7.462980400E-1,1.930000000E2
8.797208910E-1,1.650000000E2
1.012960638E0,1.720000000E2
1.146261419E0,1.650000000E2
1.413107122E0,1.720000000E2
1.679830755E0,1.790000000E2
1.946401800E0,1.860000000E2
2.079855169E0,1.790000000E2
2.479741591E0,1.720000000E2
2.613683241E0,1.790000000E2
3.013463515E0,1.720000000E2
3.146855849E0,1.860000000E2
3.280004042E0,1.930000000E2
3.546758192E0,1.990000000E2
3.813451308E0,1.930000000E2
3.946843642E0,1.990000000E2
4.080266493E0,1.930000000E2
4.213658827E0,1.990000000E2
4.347112196E0,1.930000000E2
4.480321425E0,1.990000000E2
5.013707655E0,1.930000000E2
5.280492323E0,1.990000000E2
5.680699843E0,1.930000000E2
5.813939589E0,1.860000000E2
5.947301405E0,2.060000000E2
6.080602187E0,2.130000000E2
7.014165419E0,2.270000000E2
7.147496718E0,2.130000000E2
7.680974501E0,2.270000000E2
7.814427870E0,2.130000000E2
8.481175917E0,2.270000000E2
8.748052138E0,2.130000000E2
8.881200331E0,2.270000000E2
9.014592665E0,2.130000000E2
9.148046034E0,2.270000000E2
9.414861220E0,2.130000000E2
1.034824135E1,2.060000000E2
1.048160316E1,2.270000000E2
1.061493446E1,2.130000000E2
1.181519081E1,2.270000000E2
1.208197548E1,2.060000000E2
1.221542885E1,1.930000000E2
1.234879066E1,1.790000000E2
1.248210114E1,1.860000000E2
1.288224762E1,1.930000000E2
1.341572541E1,1.860000000E2
1.368247956E1,1.930000000E2
1.394917267E1,1.990000000E2
1.434922760E1,1.930000000E2
1.448255890E1,1.990000000E2
1.461579865E1,2.060000000E2
1.474909943E1,1.990000000E2
1.514924591E1,2.060000000E2
1.541590851E1,1.990000000E2
1.554936188E1,2.060000000E2
1.568269318E1,1.990000000E2
1.594956940E1,1.930000000E2
1.621623200E1,1.990000000E2
1.808341950E1,1.930000000E2
1.835011261E1,1.990000000E2
1.901686066E1,2.060000000E2
1.915031403E1,1.990000000E2
1.955039948E1,1.930000000E2
1.968360870E1,2.060000000E2
1.981712311E1,1.990000000E2
1.995039337E1,1.930000000E2
2.008369416E1,2.060000000E2
2.021717804E1,1.990000000E2
2.048393219E1,1.930000000E2
2.061711090E1,1.990000000E2
2.075062531E1,2.060000000E2
2.088380402E1,1.990000000E2
2.141746491E1,2.060000000E2
2.155070465E1,1.990000000E2
2.168400543E1,2.060000000E2
2.181733673E1,1.990000000E2
2.248435388E1,2.060000000E2
2.261756311E1,1.990000000E2
2.288428674E1,1.930000000E2
2.301761804E1,2.060000000E2
2.315119348E1,1.990000000E2
2.541822229E1,2.060000000E2
2.555161462E1,1.990000000E2
2.595179162E1,2.060000000E2
2.635181604E1,1.990000000E2
2.661860070E1,1.930000000E2
2.675180993E1,1.990000000E2
2.688526330E1,2.060000000E2
2.701850305E1,1.990000000E2
2.715180383E1,1.860000000E2
2.741871057E1,1.790000000E2
2.755195031E1,1.860000000E2
2.835230432E1,1.990000000E2
2.901911340E1,2.060000000E2
2.915226159E1,1.990000000E2
