"Time (s)","Illuminance (lx)"
1.940611640E-1,2.340000000E2
3.274229800E-1,2.130000000E2
4.608153140E-1,2.270000000E2
8.612669740E-1,2.130000000E2
9.944456850E-1,2.270000000E2
1.927856330E0,2.130000000E2
2.061279181E0,2.270000000E2
2.327972296E0,2.340000000E2
2.461334113E0,2.410000000E2
2.594787482E0,2.480000000E2
2.728057746E0,2.550000000E2
2.861297492E0,2.480000000E2
2.994628791E0,2.550000000E2
3.128204230E0,2.480000000E2
3.394856507E0,2.550000000E2
3.794941956E0,2.480000000E2
3.928273255E0,2.550000000E2
4.061665589E0,2.480000000E2
4.861897523E0,2.410000000E2
4.995167786E0,2.550000000E2
5.128560120E0,2.480000000E2
5.528615052E0,2.550000000E2
5.928731019E0,2.480000000E2
6.328782409E0,2.550000000E2
6.995805115E0,2.620000000E2
7.128953308E0,2.680000000E2
7.262254089E0,2.750000000E2
7.395646423E0,2.680000000E2
7.529069275E0,2.750000000E2
8.196000427E0,2.680000000E2
8.329240173E0,2.820000000E2
8.462571472E0,2.680000000E2
8.595933288E0,2.750000000E2
9.929612488E0,2.680000000E2
1.006312689E1,2.750000000E2
1.046312079E1,2.820000000E2
1.059642157E1,2.750000000E2
1.099653754E1,2.820000000E2
1.112989935E1,2.750000000E2
1.179670844E1,2.820000000E2
1.219697699E1,2.750000000E2
1.259684882E1,2.820000000E2
1.273033270E1,2.750000000E2
1.286363348E1,2.820000000E2
1.299690375E1,2.750000000E2
1.406383108E1,2.820000000E2
1.419731497E1,2.750000000E2
1.459746145E1,2.820000000E2
1.473067068E1,2.750000000E2
1.499739431E1,2.820000000E2
1.513078665E1,2.750000000E2
1.579753469E1,2.680000000E2
1.593086599E1,2.750000000E2
1.606425833E1,2.820000000E2
1.633095144E1,2.750000000E2
1.713115286E1,2.820000000E2
1.739802908E1,2.750000000E2
1.793159841E1,2.820000000E2
1.806489920E1,2.750000000E2
1.833137869E1,2.680000000E2
1.846480154E1,2.750000000E2
1.966527151E1,2.820000000E2
1.993172048E1,2.750000000E2
2.019847464E1,2.820000000E2
2.059862112E1,2.750000000E2
2.073192190E1,2.820000000E2
2.086528372E1,2.750000000E2
2.099864553E1,2.820000000E2
2.113203787E1,2.750000000E2
2.126539968E1,2.820000000E2
2.139873098E1,2.750000000E2
2.273253225E1,2.820000000E2
2.286577200E1,2.750000000E2
2.326587596E1,2.680000000E2
2.339932932E1,2.820000000E2
2.353259959E1,2.750000000E2
2.379926219E1,2.820000000E2
2.406613841E1,2.750000000E2
2.446625437E1,2.820000000E2
2.459958567E1,2.750000000E2
2.473294749E1,2.820000000E2
2.499976267E1,2.750000000E2
2.566638865E1,2.820000000E2
2.579971995E1,2.750000000E2
2.620004954E1,2.680000000E2
2.633313670E1,2.750000000E2
2.713361277E1,2.820000000E2
2.726673045E1,2.750000000E2
2.793363108E1,2.820000000E2
2.806690135E1,2.750000000E2
2.873383250E1,2.680000000E2
2.886701121E1,2.750000000E2
